NMUESTRA,LONGITUD,LATITUD,ELEVACION,FECHA,Au,Ag,Cu,Pb,Zn,Mo,Ni,Co,Cd,Fe,Mn,Te,Ba,Cr,V,Sn,W,La,Al,Mg,Ca,Na,K,Sr,Y,Ga,Li,Nb,Sc,Ta,Ti,Zr,As,Sb,Hg,Pt,Pd,LITHOLOGY,CODIGO
10795,787598.05,96518.77,903.56,10/06/1998,3.33,0.66,70,2.66,78,0.7,20,25,0.46,6.52,1087,6.66,124,40,170,13.33,13.33,5,3.99,1.05,0.76,0.02,0.05,41,9,8,6,11,15,6.66,0.14,7,2.66,1.26,0.026,3.33,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
10807,808017.29,92982.15,999.16,18/06/1998,5,0.66,86,2.66,96,0.7,19,26,0.46,9.43,1364,6.66,77,44,592,13.33,13.33,4,3.46,0.9,0.99,0.02,0.05,98,6,8,4,43,18,6.66,0.3,1,2.66,1.26,0.026,3.33,11,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10908,790924.7,92358.7,815.75,22/06/1998,11,0.66,184,2.66,70,0.7,19,28,0.46,10,833,6.66,79,49,473,13.33,13.33,4,3.77,0.81,0.71,0.05,0.07,57,6,7,5,34,11,6.66,0.13,0.66,2.66,1.26,0.026,3.33,8,Intrusivo Granodiorita-Diorita,GdD
10922,791067.47,92505.72,810.92,22/06/1998,54,0.66,91,2.66,93,0.7,24,27,0.46,9.03,1125,6.66,104,48,336,13.33,13.33,4,3.49,1.08,0.64,0.02,0.05,46,7,7,8,23,16,6.66,0.16,6,2.66,1.26,0.026,5,9,Intrusivo Granodiorita-Diorita,GdD
10952,791232.06,92240.23,800.28,23/06/1998,25,0.66,164,2.66,53,0.7,14,27,0.46,9.26,675,6.66,41,21,336,13.33,13.33,4,2.84,0.82,0.82,0.03,0.07,45,8,6,4,24,9,6.66,0.17,0.66,2.66,1.26,0.026,3.33,7,Intrusivo Granodiorita-Diorita,GdD
11022,790692.87,93060.48,849.32,22/06/1998,14,0.66,145,2.66,71,0.7,15,29,0.46,7.58,848,6.66,98,23,243,13.33,13.33,4,3.58,0.98,0.79,0.03,0.09,54,11,6,5,16,11,6.66,0.18,0.66,2.66,1.26,0.063,5,7,Intrusivo Granodiorita-Diorita,GdD
11218,791449.36,91972.32,816.06,23/06/1998,10,0.66,87,2.66,73,0.7,15,27,0.46,9.18,1291,6.66,80,32,323,13.33,13.33,5,2.78,0.67,0.32,0.01,0.09,30,9,6,4,23,11,6.66,0.13,0.66,2.66,1.26,0.026,3.33,3,Intrusivo Granodiorita-Diorita,GdD
11231,791904.01,92020.88,900.42,23/06/1998,12,0.66,99,2.66,70,0.7,26,26,0.46,7.42,948,6.66,60,80,277,13.33,13.33,4,2.98,0.92,0.61,0.02,0.06,34,7,5,5,19,12,6.66,0.15,1,2.66,1.26,0.026,10,11,Intrusivo Granodiorita-Diorita,GdD
11256,804920.31,96776.04,1032.52,15/06/1998,3.33,0.66,63,2.66,51,0.7,62,23,0.46,4.51,662,6.66,55,99,130,13.33,13.33,4,4.72,1.98,1.32,0.02,0.02,40,6,7,6,8,16,6.66,0.16,5,2.66,1.26,0.047,8,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
11326,791593.99,91486.06,898.35,23/06/1998,12,0.66,104,2.66,103,0.7,25,30,0.46,9.02,1301,6.66,122,44,325,13.33,13.33,4,4.17,1.18,0.73,0.03,0.06,55,8,9,9,22,17,6.66,0.19,5,4.9,1.26,0.044,7,8,Intrusivo Granodiorita-Diorita,GdD
11354,786480.84,96972.82,1158.6,22/06/1998,3.33,0.66,64,2.66,101,0.7,25,22,0.46,5.45,964,6.66,87,56,135,13.33,13.33,4,3.58,1.03,0.34,0.02,0.03,27,6,7,5,8,11,6.66,0.11,3,2.66,1.26,0.047,3.33,6,Volcánicos andesíticos,MPlv
11526,785174.02,94844.06,1406.49,23/06/1998,3.33,0.66,33,2.66,64,0.7,8,16,0.46,5.15,845,6.66,119,13,121,13.33,13.33,4,3.41,0.5,0.29,0.02,0.02,23,7,7,5,8,8,6.66,0.1,0.66,2.66,1.26,0.054,3.33,4,Volcánicos andesíticos,MPlv
11563,787848.06,91624.53,884.19,22/06/1998,3.33,0.66,38,2.66,84,0.7,14,17,0.46,4.47,682,6.66,137,24,120,13.33,13.33,3,3.06,0.64,0.3,0.02,0.03,17,5,6,6,8,7,6.66,0.1,2,2.66,1.26,0.049,3.33,4,Depósitos recientes no consolidados,QA
11569,805261.88,96289.32,948.07,15/06/1998,3.33,0.66,69,2.66,53,0.7,75,27,0.46,5.3,751,6.66,59,138,144,13.33,13.33,4,4.76,2.28,1.4,0.02,0.02,44,7,7,6,9,19,6.66,0.15,8,2.66,1.26,0.026,8,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
11615,784372.27,93589.27,1396.33,24/06/1998,3.33,0.66,38,2.66,69,1,5,14,0.46,4.82,927,6.66,108,7,106,13.33,13.33,4,2.83,0.39,0.24,0.01,0.02,19,6,6,5,7,7,6.66,0.08,2,2.66,1.26,0.062,6,3,Volcánicos andesíticos,MPlv
11637,787062.61,86022.7,1191.42,23/06/1998,5,0.66,84,2.66,75,1,34,23,0.46,6.31,823,6.66,122,46,184,13.33,13.33,3,4.43,1.37,0.77,0.02,0.04,31,7,7,9,12,16,6.66,0.12,7,5.8,1.26,0.04,5,7,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
11649,787205.09,86202.3,1179.26,23/06/1998,6,0.66,133,2.66,57,1,24,35,0.46,6.73,902,6.66,60,41,160,13.33,13.33,3,4.75,2.51,0.26,0.01,0.05,17,12,6,9,10,17,6.66,0.01,2,4.3,1.26,0.026,9,12,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
11718,788678.96,96662.62,770.92,10/06/1998,3.33,0.66,76,2.66,90,1,17,21,0.46,6.09,1121,6.66,103,34,126,13.33,13.33,4,3.48,1.13,0.35,0.01,0.03,22,7,6,4,8,11,6.66,0.1,4,2.66,1.26,0.026,3.33,5,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
11966,787231.36,96850.42,1006.71,22/06/1998,5,0.66,64,2.66,70,2,11,17,0.46,6.81,885,6.66,56,16,109,13.33,13.33,6,3.5,1.21,0.19,0.01,0.03,19,11,5,4,6,10,6.66,0.1,4,2.66,1.26,0.026,7,6,Volcánicos andesíticos,MPlv
12070,786664.18,86273.11,1135.98,23/06/1998,10,0.66,107,2.66,76,0.7,33,33,0.46,8.05,1011,6.66,67,58,211,13.33,13.33,3,5.65,1.96,0.94,0.02,0.03,45,9,7,11,14,22,6.66,0.15,9,2.66,1.26,0.026,33,17,Depósitos recientes no consolidados,QA
12088,785170.08,91082.57,1276.21,23/06/1998,3.33,0.66,30,2.66,104,0.7,8,14,0.46,4.49,680,6.66,112,14,101,13.33,13.33,3,2.47,0.44,0.16,0.01,0.03,11,5,4,6,7,6,6.66,0.08,1,2.66,1.26,0.026,3.33,3,Volcánicos andesíticos,MPlv
12283,785222.43,87533.12,1233.09,23/06/1998,5,0.66,77,2.66,80,0.7,40,28,0.46,5.57,867,6.66,111,59,144,13.33,13.33,3,4.5,1.63,0.86,0.02,0.03,33,7,6,10,9,17,6.66,0.12,6,2.66,1.26,0.026,12,11,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12513,784273.76,90330.69,1395.6,23/06/1998,3.33,0.66,21,4,70,0.7,10,13,0.46,4.01,511,6.66,77,24,125,13.33,13.33,2,2.02,0.53,0.25,0.01,0.02,12,3,2,4,8,6,6.66,0.12,1,2.66,1.26,0.04,3.33,3,Volcánicos andesíticos,MPlv
12573,784789.92,89973.87,1399.16,23/06/1998,3.33,0.66,16,5,74,0.7,7,10,0.46,2.13,548,6.66,79,13,56,13.33,13.33,2,2.12,0.34,0.17,0.02,0.02,12,3,3,4,3,3.33,6.66,0.07,2,2.66,1.26,0.059,3.33,2,Volcánicos andesíticos,MPlv
12594,786174.06,86585.42,1185.57,23/06/1998,8,0.66,111,2.66,80,0.7,47,32,0.46,6.42,1150,6.66,62,128,168,13.33,13.33,3,5.3,1.64,0.9,0.02,0.03,43,11,3,10,10,28,6.66,0.14,4,2.66,1.26,0.057,23,15,Depósitos recientes no consolidados,QA
12627,785447.51,90379.72,1272.63,23/06/1998,21,0.66,20,7,91,0.7,13,13,0.46,2.73,497,6.66,118,19,69,13.33,13.33,3,3,0.49,0.16,0.02,0.02,12,3,4,6,4,6,6.66,0.08,3,2.66,1.26,0.064,3.33,3,Volcánicos andesíticos,MPlv
12662,786682.18,87458.44,1003.91,23/06/1998,6,0.66,86,4,87,0.7,42,29,0.46,6.69,1010,6.66,116,84,167,13.33,13.33,3,4.91,1.48,0.79,0.02,0.03,33,7,3,10,10,21,6.66,0.14,9,2.66,1.26,0.045,8,12,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12666,785193.34,87348.73,1234.79,23/06/1998,5,0.66,76,2.66,81,0.7,38,25,0.46,5.28,895,6.66,89,62,135,13.33,13.33,3,4.34,1.55,0.88,0.02,0.03,33,8,2,9,8,18,6.66,0.12,4,2.66,1.26,0.05,3.33,10,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12671,801672.39,97063.9,854.76,17/06/1998,56,0.66,93,2.66,63,0.7,23,25,0.46,6.58,1180,6.66,86,53,187,13.33,13.33,5,3.79,0.89,0.72,0.02,0.06,53,9,7,6,12,13,6.66,0.15,4,5.4,1.26,0.026,13,6,Intrusivo Granodiorita-Diorita,GdD
12696,784395.89,90155.34,1398.65,23/06/1998,3.33,0.66,15,4,71,0.7,9,9,0.46,2.26,322,6.66,80,17,63,13.33,13.33,2,1.95,0.29,0.16,0.01,0.02,12,2,5,4,4,3.33,6.66,0.09,3,2.66,1.26,0.04,3.33,3,Volcánicos andesíticos,MPlv
12702,807888.67,88894.11,1216.23,15/06/1998,3.33,0.66,70,2.66,97,0.7,20,21,0.46,7.58,930,6.66,67,58,388,13.33,13.33,5,2.76,1.1,0.96,0.05,0.07,132,5,7,4,28,11,6.66,0.3,2,2.66,1.26,0.026,6,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12704,810252.29,94207.22,1200.66,12/06/1998,3.33,0.66,66,2.66,83,0.7,19,18,0.46,7.25,805,6.66,39,51,315,13.33,13.33,4,3.35,1.26,1.57,0.15,0.06,154,5,7,5,22,9,6.66,0.25,6,2.66,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12706,787967.07,88854.28,912.08,18/06/1998,6,0.66,77,2.66,83,0.7,33,21,0.46,6.41,772,6.66,104,46,184,13.33,13.33,3,3.98,1.21,0.85,0.02,0.04,37,6,7,10,12,15,6.66,0.13,6,4.6,1.26,0.026,3.33,6,Depósitos recientes no consolidados,QA
12711,795956.61,82224.11,1413.65,16/06/1998,3.33,0.66,57,2.66,67,0.7,18,19,0.46,4.71,942,6.66,119,32,138,13.33,13.33,4,4.34,0.87,0.69,0.02,0.05,59,6,7,10,9,12,6.66,0.12,4,5.1,1.26,0.058,7,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12714,807836.74,86969.53,1440.3,15/06/1998,9,0.66,109,2.66,90,0.7,13,20,0.46,5.77,786,6.66,114,28,159,13.33,13.33,4,2.41,1.21,0.53,0.02,0.08,31,5,5,11,10,10,6.66,0.13,2,2.66,1.26,0.217,3.33,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12718,790075.32,87079.03,1065.93,17/06/1998,3.33,0.66,72,2.66,78,0.7,23,23,0.46,5.64,858,6.66,110,40,203,13.33,13.33,4,3.8,0.76,0.94,0.05,0.06,48,7,8,12,14,12,6.66,0.2,8,5.8,1.26,0.026,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12721,797930.33,92859.38,1064.59,16/06/1998,3.33,0.66,76,2.66,91,0.7,30,27,0.46,7.87,1437,6.66,107,52,338,13.33,13.33,5,5.16,1.14,0.72,0.02,0.05,56,9,10,10,24,19,6.66,0.14,7,2.66,1.26,0.026,3.33,4,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12725,788906.16,88401.21,1000.98,18/06/1998,7,0.66,132,2.66,99,0.7,87,39,0.46,7.52,1412,6.66,76,142,202,13.33,13.33,4,4.71,1.95,0.81,0.02,0.05,39,10,8,13,13,22,6.66,0.14,5,2.66,1.26,0.026,23,13,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12730,793886.75,84223.05,1400.22,16/06/1998,76,0.66,51,6,151,0.7,35,26,0.46,10,713,6.66,75,126,479,13.33,13.33,5,1.2,0.47,0.35,0.03,0.05,28,4,7,7,33,3.33,6.66,0.25,0.66,14.2,1.26,0.026,3.33,3,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12731,788117.28,89675.22,924.57,18/06/1998,15,0.66,68,2.66,92,0.7,27,22,0.46,5.05,857,6.66,123,65,146,13.33,13.33,3,3.73,0.72,0.41,0.02,0.04,23,5,8,9,9,14,6.66,0.14,5,2.66,1.26,0.041,7,7,Depósitos recientes no consolidados,QA
12738,809536.84,92169.58,884.52,12/06/1998,3.33,0.66,83,2.66,79,0.7,25,21,0.46,6.1,906,6.66,74,47,261,13.33,13.33,5,3.92,1.42,1.44,0.07,0.07,168,7,8,7,18,13,6.66,0.21,9,2.66,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12743,799407.23,92426.32,1205.68,16/06/1998,5,0.66,88,2.66,87,0.7,45,29,0.46,7.05,1222,6.66,166,93,234,13.33,13.33,5,6.13,1.06,0.47,0.02,0.05,48,8,10,12,15,24,6.66,0.11,8,2.66,1.26,0.026,5,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12745,793286.01,84438.92,1399.97,17/06/1998,3.33,0.66,90,2.66,72,1,65,29,0.46,5.87,824,6.66,112,88,178,13.33,13.33,4,6.67,1.84,1,0.04,0.04,71,8,10,10,11,24,6.66,0.16,8,2.66,1.26,0.068,8,11,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12752,796841.56,82153.25,1599.11,16/06/1998,3.33,0.66,62,5,79,0.7,15,16,0.46,4.75,632,6.66,109,21,112,13.33,13.33,4,2.01,0.53,0.41,0.02,0.07,29,5,4,12,7,9,6.66,0.04,1,12.6,1.26,0.117,3.33,4,Intrusivo Granodiorita-Diorita,GdD
12753,793125.16,84750.82,1399.35,17/06/1998,3.33,0.66,105,2.66,86,0.7,45,33,0.46,7.52,1362,6.66,101,63,221,13.33,13.33,5,7.16,1.77,0.96,0.03,0.05,93,10,11,12,14,27,6.66,0.2,9,2.66,1.26,0.026,6,9,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12759,797298,88892.57,1200.09,18/06/1998,5,0.66,91,2.66,137,0.7,17,22,0.46,8.84,1255,6.66,137,29,410,13.33,13.33,5,3.45,1.02,0.74,0.03,0.06,75,7,8,10,29,15,6.66,0.23,2,4.5,1.26,0.026,3.33,6,Intrusivo Granodiorita-Diorita,GdD
12763,801848.86,88129.88,1612.38,16/06/1998,20,0.66,198,14.5,208.5,1.5,23,25,0.8,5.97,1284.5,6.66,108,34,123.5,13.33,13.33,4.5,2.905,1.1,0.34,0.01,0.06,29.5,5.5,7,9,8,10,6.66,0.0066,2,13.2,1.26,0.026,3.33,8,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12765,797778.62,80512.87,1604.62,15/06/1998,28,0.66,139,6,87,2,14,16,0.46,4.77,608,6.66,165,30,156,13.33,13.33,4,2.64,0.65,0.22,0.02,0.11,16,4,6,8,10,7,6.66,0.1,0.66,5,1.26,0.026,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12770,801126.43,85762.59,1599.92,18/06/1998,9,0.66,100,5,95,0.7,17,21,0.46,5.12,882,6.66,215,26,144,13.33,13.33,4,3.23,1.09,0.49,0.02,0.09,23,7,6,13,9,12,6.66,0.13,4,2.66,1.26,0.063,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12771,798682.11,87633.77,1399.81,17/06/1998,3.33,0.66,83,2.66,127,0.7,14,21,0.46,7.95,1226,6.66,118,23,344,13.33,13.33,5,3.88,0.95,0.65,0.02,0.06,118,7,8,9,24,16,6.66,0.2,4,2.66,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12772,798100.06,87720.03,1398.63,17/06/1998,3.33,0.66,95,2.66,151,0.7,14,24,0.46,10,1304,6.66,88,17,516,13.33,13.33,4,3.83,0.94,0.55,0.02,0.04,74,7,10,7,36,19,6.66,0.27,1,2.66,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12777,796563.01,81167.81,1599.26,16/06/1998,3.33,0.66,72,4,100,1,24,20,0.46,5.12,768,6.66,158,27,106,13.33,13.33,5,3.16,0.85,0.45,0.02,0.08,46,6,6,23,6,11,6.66,0.04,2,23.3,1.26,0.081,3.33,4,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12778,789578.19,95095.57,761.73,19/06/1998,5,0.66,75,2.66,93,0.7,16,24,0.46,5.79,1043,6.66,116,30,177,13.33,13.33,6,3.85,0.89,0.74,0.02,0.06,46,11,8,6,11,15,6.66,0.15,5,2.66,1.26,0.026,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12784,802800.82,84671.48,1799.69,18/06/1998,78,0.66,100,5,98,0.7,18,21,0.46,5.39,908,6.66,235,31,158,13.33,13.33,5,3.33,1.03,0.46,0.02,0.09,23,8,7,13,10,12,6.66,0.13,3,2.66,1.26,0.051,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12786,794523.67,79537.11,1799.78,16/07/1998,6,0.66,44,6,97,1,25,16,0.46,4.26,417,6.66,101,30,82,13.33,13.33,3,1.97,0.43,0.25,0.02,0.08,27,4,5,25,5,7,6.66,0.01,1,14.6,1.26,0.042,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12790,798310.9,79650.1,1789.65,15/06/1998,31,0.66,47,2.66,53,1,12,13,0.46,4.78,361,6.66,173,38,186,13.33,13.33,4,1.61,0.44,0.21,0.02,0.09,14,3,4,9,13,3.33,6.66,0.08,0.66,9.3,1.26,0.069,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12791,788290.6,89319.8,900.17,18/06/1998,6,0.66,122,2.66,117,0.7,32,34,0.46,7.39,1567,6.66,110,67,232,13.33,13.33,4,4.74,1.07,0.54,0.02,0.07,31,11,10,9,15,25,6.66,0.15,9,2.66,1.26,0.026,10,17,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12793,794678.4,96355.49,698.54,17/06/1998,7,0.66,79,2.66,86,0.7,30,25,0.46,7.87,1015,6.66,90,68,330,13.33,13.33,5,3.36,1,0.83,0.03,0.06,50,7,7,7,23,13,6.66,0.16,6,2.66,1.26,0.026,13,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12797,795151.59,89619.4,1198.76,18/06/1998,3.33,0.66,101,2.66,95,0.7,32,27,0.46,7.71,1332,6.66,103,57,299,13.33,13.33,6,5.16,1.33,0.78,0.02,0.05,65,11,10,9,20,20,6.66,0.16,10,2.66,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12799,792984.58,89909.95,999.89,18/06/1998,5,0.66,85,2.66,103,0.7,19,23,0.46,6.91,1113,6.66,119,28,279,13.33,13.33,5,3.66,1.09,0.8,0.03,0.06,67,8,8,9,19,15,6.66,0.17,6,2.66,1.26,0.026,3.33,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12802,807041.76,91121.37,998.67,15/06/1998,3.33,0.66,86,2.66,108,0.7,29,26,0.46,7.46,1091,6.66,84,88,378,13.33,13.33,6,3.28,1.31,1.08,0.03,0.07,78,6,7,7,27,14,6.66,0.25,6,2.66,1.26,0.026,5,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12804,809361.58,93595,1001.25,12/06/1998,5,0.66,85,2.66,115,0.7,20,29,0.46,9.41,1602,6.66,103,40,495,13.33,13.33,4,4.06,1.14,0.82,0.03,0.04,109,8,2,5,35,18,6.66,0.33,2,2.66,1.26,0.052,3.33,8,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12806,792622.38,85914.12,1204.61,17/06/1998,34,0.66,68,2.66,100,0.7,12,21,0.46,6.97,999,6.66,77,23,215,13.33,13.33,4,3.71,1.02,0.57,0.02,0.05,34,8,3,9,14,14,6.66,0.16,8,4.3,1.26,0.026,7,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12811,795496.34,82721.21,1399.92,16/06/1998,3.33,0.66,57,2.66,71,0.7,13,18,0.46,4.33,953,6.66,209,30,128,13.33,13.33,5,4.22,0.44,0.47,0.02,0.05,41,8,4,9,8,9,6.66,0.13,5,5.9,1.26,0.081,3.33,4,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12814,807984.01,88127.96,1354.77,15/06/1998,3.33,0.66,74,2.66,78,0.7,16,18,0.46,5.49,788,6.66,135,34,142,13.33,13.33,3,2.35,0.87,0.74,0.01,0.08,31,8,1.33,13,9,12,6.66,0.08,4,14.2,1.26,0.056,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12816,810379.71,94164.4,1200.84,12/06/1998,3.33,0.66,80,2.66,86,0.7,19,23,0.46,6.76,1023,6.66,107,46,239,13.33,13.33,5,4.31,1.28,1.07,0.06,0.05,108,7,2,7,16,14,6.66,0.2,7,2.66,1.26,0.041,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12818,788129.47,88858.6,901.87,18/06/1998,86,0.66,44,2.66,90,0.7,21,17,0.46,6.92,553,6.66,79,64,248,13.33,13.33,4,1.48,0.5,0.32,0.02,0.05,26,4,1.33,7,18,3.33,6.66,0.14,0.66,11.2,1.26,0.026,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12824,799625.88,78900.88,1799.8,15/06/1998,3.33,0.66,38,2.66,48,0.7,7,10,0.46,3.84,391,6.66,125,25,119,13.33,13.33,3,2.11,0.35,0.16,0.01,0.08,14,3,1.33,8,8,3.33,6.66,0.08,0.66,2.66,1.26,0.026,3.33,3,Intrusivo Granodiorita-Diorita,GdD
12831,793523.01,85622.25,1199.56,17/06/1998,3.33,0.66,77,2.66,116,0.7,20,25,0.46,8.85,1358,6.66,73,43,362,13.33,13.33,3,4.02,1.04,0.58,0.02,0.03,51,7,2,5,25,16,6.66,0.25,3,2.66,1.26,0.026,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12832,784515.91,79044.62,1205.3,01/09/1998,48,0.66,125,2.66,150,0.7,24,30,0.46,7.5,1271,6.66,64,58,200,13.33,13.33,4,4.71,1.58,0.5,0.01,0.04,38,11,2,7,13,18,6.66,0.12,6,9,1.26,0.042,7,11,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12837,808714.26,83298.72,1815.94,15/06/1998,60,0.66,110,4,109,0.7,8,20,0.46,6.7,843,6.66,143,19,188,13.33,13.33,3,2.61,1.02,0.25,0.01,0.18,23,5,1.33,5,13,10,6.66,0.1,0.66,11.8,1.26,0.026,3.33,5,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12839,811012.59,94324.36,1240.89,12/06/1998,3.33,0.66,64,2.66,110,0.7,24,26,0.46,9.1,1210,6.66,91,87,398,13.33,13.33,3,3.69,1.19,0.58,0.02,0.03,66,5,1.33,5,28,14,6.66,0.27,2,2.66,1.26,0.026,25,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12844,793387.28,85579.86,1199.67,17/06/1998,9,0.66,44,2.66,92,0.7,21,17,0.46,7.18,524,6.66,77,68,256,13.33,13.33,4,1.17,0.47,0.31,0.02,0.04,26,4,1.33,7,19,3.33,6.66,0.13,0.66,15.3,1.26,0.026,3.33,2,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12850,809431.58,92083.17,893.7,12/06/1998,3.33,0.66,64,2.66,65,0.7,15,19,0.46,5.36,848,6.66,76,35,229,13.33,13.33,4,3.06,0.97,1.02,0.05,0.05,120,6,1.33,4,16,10,6.66,0.17,7,2.66,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12851,808363.39,87110.8,1399.07,15/06/1998,23,0.66,90,2.66,90,0.7,9,18,0.46,5.68,705,6.66,168,19,154,13.33,13.33,2,2.3,0.99,0.35,0.01,0.13,22,5,1.33,6,10,9,6.66,0.11,0.66,10.1,1.26,0.052,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12853,804865.63,90489.15,1204.2,15/06/1998,72,0.66,72,2.66,67,0.7,14,18,0.46,6.58,817,6.66,63,36,263,13.33,13.33,4,3.2,1,0.75,0.02,0.04,75,5,1.33,7,18,11,6.66,0.1,2,2.66,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12854,796635.48,80570.36,1599.33,15/06/1998,60,0.66,85,2.66,80,0.7,9,20,0.46,5.74,1000,6.66,140,19,156,13.33,13.33,3,2.79,0.91,0.35,0.01,0.06,16,8,1.33,10,11,11,6.66,0.12,2,6.7,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12855,787642.09,91472.64,934.16,19/06/1998,3.33,0.66,29,2.66,71,0.7,9,14,0.46,3.85,631,6.66,108,17,103,13.33,13.33,2,2.4,0.5,0.21,0.01,0.03,14,4,1.33,4,7,6,6.66,0.09,2,2.66,1.26,0.026,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12857,794507.12,96380.13,699.35,17/06/1998,10,0.66,87,2.66,67,0.7,18,26,0.46,6.06,910,6.66,87,40,160,13.33,13.33,3,3.51,1.17,0.53,0.02,0.06,31,5,1.33,8,10,12,6.66,0.13,4,2.66,1.26,0.026,5,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12862,799346.65,88288.89,1404.92,17/06/1998,3.33,0.66,97,2.66,105,0.7,12,22,0.46,9.81,1292,13,99,27,462,13.33,13.33,3,3.65,1.04,0.49,0.01,0.04,52,6,1.33,6,33,18,6.66,0.14,3,4.5,1.26,0.026,3.33,10,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12864,791837.75,91132.41,899.94,18/06/1998,3.33,0.66,71,2.66,113,0.7,16,22,0.46,9.08,1046,12,83,36,378,13.33,13.33,3,2.75,0.83,0.57,0.02,0.04,43,6,1.33,6,27,13,6.66,0.2,3,2.66,1.26,0.026,3.33,5,Intrusivo Granodiorita-Diorita,GdD
12866,804649.87,90534.33,1268.62,15/06/1998,28,0.66,100,2.66,197,0.7,11,23,1.1,6.9,1243,6.66,91,29,255,13.33,13.33,3,3.27,0.97,0.49,0.01,0.04,42,5,1.33,6,18,14,6.66,0.11,1,6.7,1.26,0.026,3.33,10,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
