NMUESTRA,LONGITUD,LATITUD,ELEVACION,FECHA,Au,Ag,Cu,Pb,Zn,Mo,Ni,Co,Cd,Fe,Mn,Te,Ba,Cr,V,Sn,W,La,Al,Mg,Ca,Na,K,Sr,Y,Ga,Li,Nb,Sc,Ta,Ti,Zr,As,Sb,Hg,Pt,Pd,LITHOLOGY,CODIGO
14172,794607.58,78607.28,1800.11,15/07/1998,3.33,0.66,38,5,77,0.7,9,14,0.46,3.66,705,6.66,117,15,94,13.33,13.33,4,2.27,0.51,0.21,0.01,0.06,18,5,4,9,5,6,6.66,0.09,3,2.66,1.26,0.049,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14194,786924.25,73394.64,1799.16,29/08/1998,3.33,0.66,54,2.66,108,0.7,11,20,0.46,9.34,1127,6.66,71,17,405,13.33,13.33,2,3.68,0.96,0.73,0.02,0.05,35,7,7,6,23,17,6.66,0.17,6,2.66,1.26,0.044,3.33,3,Pórfido andesítico,PA
14207,789056.72,71513.58,2190.79,28/08/1998,7,0.66,75,2.66,65,0.7,10,16,0.46,4.79,657,6.66,76,13,135,13.33,13.33,2,2.5,1.14,0.61,0.02,0.06,15,6,5,12,7,11,6.66,0.14,7,6.1,1.26,0.04,3.33,5,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14262,796158.8,71720.36,2857.86,18/07/1998,3.33,0.66,29,5,100,0.7,13,13,0.46,3.76,504,6.66,86,29,115,13.33,13.33,3,2.47,0.43,0.33,0.03,0.04,23,4,3,7,9,6,6.66,0.13,2,2.66,1.26,0.042,3.33,3,Volcánicos andesíticos,MPlv
14287,789181.02,77934.38,1798.45,18/07/1998,65,0.66,74,2.66,95.5,0.7,12,17.5,0.46,6.7,756.5,6.66,110,24,219,13.33,13.33,3,3.49,0.85,0.59,0.02,0.06,25.5,6,6,11.5,16.5,11.5,6.66,0.145,4.5,4.6,1.26,3.2455,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
14319,785795.73,73517.5,1800.01,29/08/1998,8,0.66,114,2.66,67,0.7,22,24,0.46,6.85,819,6.66,143,44,202,13.33,13.33,5,6.11,1.15,0.5,0.03,0.08,48,8,8,12,15,18,6.66,0.14,6,2.66,1.26,0.047,8,8,Pórfido andesítico,PA
14343,787482.74,73108.64,1799.05,28/08/1998,9,0.66,99,2.66,81,0.7,12,18,0.46,6.22,762,6.66,99,18,183,13.33,13.33,3,3.77,1.05,0.94,0.02,0.08,29,8,5,13,13,16,6.66,0.15,6,5.6,1.26,0.063,7,7,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14363,798057.39,76780.94,2199.44,15/07/1998,6,0.66,25,2.66,51,0.7,8,11,0.46,5.34,321,6.66,72,41,202,13.33,13.33,3,1.49,0.39,0.16,0.02,0.09,13,3,4,8,17,3.33,6.66,0.09,0.66,2.66,1.26,0.129,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14408,795515.88,76300.23,2006.13,15/07/1998,20,0.66,52,4,60,2,14,12,0.46,3.94,603,6.66,206,28,130,13.33,13.33,4,1.98,0.36,0.19,0.02,0.1,11,4,3,8,8,3.33,6.66,0.09,0.66,14.4,2.7,0.232,3.33,0.66,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14411,794869.93,74688.37,2357.52,15/07/1998,7,0.66,46,5,79,1,20,16,0.46,4.48,673,6.66,185,40,123,13.33,13.33,3,2.68,0.94,0.5,0.02,0.07,22,5,4,11,8,9,6.66,0.13,2,6.2,1.26,0.026,3.33,1,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14417,788320.47,72476.48,2003.78,30/08/1998,3.33,0.66,73,4,79,0.7,19,18,0.46,4.83,799,6.66,120,29,119,13.33,13.33,4,3.39,0.62,0.3,0.02,0.05,20,6,5,15,7,10,6.66,0.09,2,22.9,1.26,0.055,3.33,2,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
14418,790829.25,76498.08,1800.26,17/07/1998,3.33,0.66,38,2.66,79,0.7,9,14,0.46,4.64,754,6.66,150,18,134,13.33,13.33,6,3.72,0.5,0.5,0.02,0.05,38,7,6,10,8,7,6.66,0.07,0.66,2.66,1.26,0.095,3.33,0.66,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14424,785457.98,73941.75,1798.16,29/08/1998,3.33,0.66,79,2.66,73,0.7,37,26,0.46,6.43,802,6.66,119,42,202,13.33,13.33,6,6.12,1.25,0.62,0.02,0.04,51,9,9,12,12,20,6.66,0.14,10,2.66,1.26,0.026,3.33,3,Pórfido andesítico,PA
14436,790964.25,75881.62,1919.25,17/07/1998,37,0.66,91,2.66,81,1,18,20,0.46,5.39,666,6.66,100,27,120,13.33,13.33,4,3.03,1.32,0.4,0.02,0.14,19,7,4,17,7,11,6.66,0.11,0.66,4.6,1.26,0.102,3.33,5,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14437,787072.28,72240.3,1965.9,30/08/1998,3.33,0.66,65,2.66,86,0.7,9,20,0.46,5.99,1071,6.66,147,8,179,13.33,13.33,3,5.69,0.97,0.84,0.02,0.05,48,7,9,9,10,18,6.66,0.11,6,2.66,1.26,0.026,3.33,1,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
